experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,technical_subsamples,plant_mean_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,14,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP170,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP170|50000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,14,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP170,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP170|10000,3,1.3333333333333333,211
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,14,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP170,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP170|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,15,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP170,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP170|1000000,3,1.3333333333333333,112
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,15,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP170,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP170|500000,3,3.3333333333333335,523
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,15,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP170,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP170|100000,3,1.3333333333333333,121
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,15,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP170,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP170|50000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,15,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP170,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,15,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP170,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP170|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,17,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,mixture,AMP155,AMP170,1:1,1000000,500000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|1000000,3,2.3333333333333335,322
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,17,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,mixture,AMP155,AMP170,1:1,100000,50000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|100000,3,1.6666666666666667,311
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,17,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,mixture,AMP155,AMP170,1:1,10000,5000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|10000,3,1.3333333333333333,112
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,18,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,mixture,AMP155,AMP170,1:1,1000000,500000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|1000000,3,2.0,312
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,18,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,mixture,AMP155,AMP170,1:1,100000,50000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|100000,3,2.0,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,18,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P02,2,mixture,AMP155,AMP170,1:1,10000,5000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,19,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,mixture,AMP155,AMP170,1:1,1000000,500000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|1000000,3,2.6666666666666665,233
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,19,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,mixture,AMP155,AMP170,1:1,100000,50000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|100000,3,1.3333333333333333,121
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,19,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P03,3,mixture,AMP155,AMP170,1:1,10000,5000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,20,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,mixture,AMP155,AMP170,1:1,1000000,500000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|1000000,3,2.0,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,20,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,mixture,AMP155,AMP170,1:1,100000,50000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|100000,3,1.6666666666666667,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,20,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,mixture,AMP155,AMP170,1:1,10000,5000,E1_BTx398_AMP155_AMP170|AMP155+AMP170|10000,3,1.6666666666666667,221
